"filename", "language", "Python", "JSON", "XML", "comment", "blank", "total"
"d:\GitHub\Monig_Flask\src\__init__.py", "Python", 60, 0, 0, 8, 21, 89
"d:\GitHub\Monig_Flask\src\assets\img\logo-monitora2.svg", "XML", 0, 0, 9, 0, 1, 10
"d:\GitHub\Monig_Flask\src\config\client_secrets.json", "JSON", 0, 8, 0, 6, 0, 14
"d:\GitHub\Monig_Flask\src\config\swagger.py", "Python", 42, 0, 0, 0, 4, 46
"d:\GitHub\Monig_Flask\src\constants\http_status_codes.py", "Python", 67, 0, 0, 5, 10, 82
"d:\GitHub\Monig_Flask\src\models\__init__.py", "Python", 1, 0, 0, 0, 0, 1
"d:\GitHub\Monig_Flask\src\models\models.py", "Python", 892, 0, 0, 17, 230, 1139
"d:\GitHub\Monig_Flask\src\routes\__init__.py", "Python", 13, 0, 0, 0, 0, 13
"d:\GitHub\Monig_Flask\src\routes\auth.py", "Python", 79, 0, 0, 10, 33, 122
"d:\GitHub\Monig_Flask\src\routes\cadastro_opcoes.py", "Python", 14, 0, 0, 1, 7, 22
"d:\GitHub\Monig_Flask\src\routes\cadastros.py", "Python", 643, 0, 0, 43, 150, 836
"d:\GitHub\Monig_Flask\src\routes\customizados.py", "Python", 38, 0, 0, 13, 8, 59
"d:\GitHub\Monig_Flask\src\routes\editar.py", "Python", 617, 0, 0, 56, 210, 883
"d:\GitHub\Monig_Flask\src\routes\eventos.py", "Python", 374, 0, 0, 21, 94, 489
"d:\GitHub\Monig_Flask\src\routes\funcionalidades.py", "Python", 11, 0, 0, 0, 6, 17
"d:\GitHub\Monig_Flask\src\routes\get_options.py", "Python", 66, 0, 0, 5, 26, 97
"d:\GitHub\Monig_Flask\src\routes\inserir_valores.py", "Python", 229, 0, 0, 9, 74, 312
"d:\GitHub\Monig_Flask\src\routes\monitoramento.py", "Python", 116, 0, 0, 4, 54, 174
"d:\GitHub\Monig_Flask\src\routes\remover.py", "Python", 200, 0, 0, 9, 79, 288
"d:\GitHub\Monig_Flask\src\routes\send_frontend.py", "Python", 355, 0, 0, 24, 132, 511
"d:\GitHub\Monig_Flask\src\routes\vba.py", "Python", 44, 0, 0, 18, 9, 71
"d:\GitHub\Monig_Flask\src\routes\version.py", "Python", 204, 0, 0, 9, 82, 295
"d:\GitHub\Monig_Flask\src\scripts\teste.ipynb", "JSON", 0, 498, 0, 0, 1, 499
"d:\GitHub\Monig_Flask\src\tests\41test_funcionalidades.py", "Python", 8, 0, 0, 0, 2, 10
"d:\GitHub\Monig_Flask\src\tests\41test_get_frontend.py", "Python", 22, 0, 0, 0, 8, 30
"d:\GitHub\Monig_Flask\src\tests\conftest.py", "Python", 265, 0, 0, 5, 53, 323
"d:\GitHub\Monig_Flask\src\tests\scripts\jsondumps.ipynb", "JSON", 0, 85, 0, 0, 1, 86
"d:\GitHub\Monig_Flask\src\tests\test_cadastros_.py", "Python", 134, 0, 0, 22, 88, 244
"d:\GitHub\Monig_Flask\src\tests\test_delete.py", "Python", 355, 0, 0, 73, 244, 672
"d:\GitHub\Monig_Flask\src\tests\test_funcionalidades.py", "Python", 74, 0, 0, 18, 49, 141
"d:\GitHub\Monig_Flask\src\tests\test_update.py", "Python", 282, 0, 0, 36, 161, 479
"Total", "-", 5205, 591, 9, 412, 1837, 8054
